karachi	kɚɹˈɑːɹtʃi
nitrogenization	nˌaɪtɹədʒˌɛnᵻzˈeɪʃən
octocoralla	ˈɑːktəkˌɔːɹælə
octocorallan	ˈɑːktəkˌɔːɹælən
oleaceae	ˈoʊleɪsˌiː
omphalorrhagia	ˌɑːmfɐlɔɹˈeɪdʒə
omphaloskepsis	ˌɑːmfɐləskˈɛpsɪs
onchocerca	ˈɑːntʃoʊsɚkə
opportunist	ɑːpɚtˈuːnɪst
opportunistic	ɑːpɚtuːnˈɪstɪk
opportunistically	ɑːpɚtuːnˈɪstɪkli
ordainer	ˈɔːɹdeɪnɚ
orotund	ˈɔːɹətˌʌnd
orthoepy	ˈɔːɹθoʊpi
otographical	ˌɑːɾəɡɹˈæfɪkəl
overproportionate	ˌoʊvɚpɹəpˈɔːɹʃənət
overproportionated	ˌoʊvɚpɹəpˈɔːɹʃənəɾᵻd
overproportionately	ˌoʊvɚpɹəpˈɔːɹʃənətli
paedomorphic	pˌiːdəmˈɔːɹfɪk
palaeotypographical	pˌæliːˌɑːɾɪpəɡɹˈæfɪkəl
pelletierine	pˈɛlɪtˌɪɹiːn
perthiocyanate	pˈɜːθɪˌɑːsɪˌæneɪt
perturbator	pɚtˈɜːbeɪɾɚ
perturbatory	pɚtˈɜːbətˌɔːɹi
perturbatress	pɚtˈɜːbætɹəs
pervulgate	pˈɜːvəlɡˌeɪt
poikiloblast	pˈɔɪkɪlˌɑːblæst
poikiloblastic	pˌɔɪkɪləblˈæstɪk
poikilocythemia	pˌɔɪkɪlˌɑːsɪθˈiːmiə
poikilocytosis	pˌɔɪkɪlˌɑːsɪtˈoʊsɪs
polyphloesboean	pˌɑːlɪflˈoʊsboʊən
polytrichaceous	pˌɑːlɪtɹɪtʃˈeɪʃəs
preagriculture	pɹˈiːɡɹɪkˌʌltʃɚ
precompensation	pɹˌiːkˌɑːmpənsˈeɪʃən
preincorporate	pɹˌiːɪŋkˈɔːɹpɚɹˌeɪt
preternaturality	pɹɪtˌɜːnɐtʃɚɹˈælᵻɾi
probosciger	pɹˈɑːbəsˌaɪdʒɚ
proembryonic	pɹˌoʊmbɹɪˈɑːnɪk
progressionally	pɹəɡɹˈɛʃənəli
progressionary	pɹəɡɹˈɛʃənˌɛɹi
proportionability	pɹəpˈɔːɹʃənəbˈɪlᵻɾi
proportionable	pɹəpˈɔːɹʃənəbəl
proportionableness	pɹəpˈɔːɹʃənəbəlnəs
proportionably	pɹəpˈɔːɹʃənəbli
proportional	pɹəpˈɔːɹʃənəl
proportionalism	pɹəpˈɔːɹʃənəlˌɪzəm
proportionality	pɹəpˌɔːɹʃənˈælᵻɾi
proportionally	pɹəpˈɔːɹʃənəli
proportionate	pɹəpˈɔːɹʃənət
proportionately	pɹəpˈɔːɹʃənətli
proportionateness	pɹəpˈɔːɹʃənətnəs
prorevolutionary	pɹˌɔːɹvəlˈuːʃənˌɛɹi
prorevolutionist	pɹˌɔːɹvəlˈuːʃənˌɪst
provincialization	pɹəvˌɪnʃəlᵻzˈeɪʃən
pseudembryonic	sjˌuːdɪmbɹɪˈɑːnɪk
pseudoconglomerate	sˈuːdoʊkˌɑːŋɡləmɚɹˌeɪt
pseudoembryonic	sˌuːdoʊˌɛmbɹɪˈɑːnɪk
pseudonucleolus	sˌuːdoʊnˌuːklɪˈoʊləs
ptilopaedes	tˈɪləpˌiːdz
pudibund	pjˈuːdɪbˌʌnd
radiogoniometry	ɹˌeɪdɪoʊɡˌoʊnɪˈɑːmətɹi
reconvalesce	ɹˌiːkˈɑːnvəlˌɛs
regermination	ɹᵻdʒˌɜːmᵻnˈeɪʃən
reinforcer	ɹˌiːɪnfˈɔːɹsɚ
revolutional	ɹˌɛvəlˈuːʃənəl
revolutionally	ɹˌɛvəlˈuːʃənəli
revolutionarily	ɹˌɛvəlˈuːʃənˈɛɹᵻli
revolutionariness	ɹˌɛvəlˈuːʃənˌɛɹinəs
revolutionary	ɹˌɛvəlˈuːʃənˌɛɹi
revolutioneering	ɹˌɛvəlˈuːʃənˈɪɹɪŋ
revolutioner	ɹˌɛvəlˈuːʃənɚ
revolutionism	ɹˌɛvəlˈuːʃənˌɪzəm
revolutionist	ɹˌɛvəlˈuːʃənˌɪst
revolutionize	ɹˌɛvəlˈuːʃənˌaɪz
revolutionizement	ɹˌɛvəlˈuːʃənˌaɪzmənt
schopenhauerian	skˌoʊpənhˈaʊɚɹˌiən
semirevolutionist	sˌɛmɪɹˌɛvəlˈuːʃənˌɪst
sigher	sˈaɪɚ
skeuomorph	skjˈuːəmˌɔːɹf
solmization	sˌɑːlmᵻzˈeɪʃən
spectropolarimeter	spˌɛktɹəpˈoʊlɑːɹɹˈɪmᵻɾɚ
sphenoidal	sfˈɛnɔɪdəl
spongoblast	spˈʌŋɡəblˌæst
standardization	stˌændɚdᵻzˈeɪʃən
stegocephalous	stˈɛɡoʊsfələs
straightwards	stɹˈeɪtwɚdz
subproportional	sˌʌbpɹəpˈɔːɹʃənəl
superexpand	sˈuːpɚɹɛkspˌænd
supposed	səpˈoʊzd
supposition	səpəzˈɪʃən
suppositional	səpəzˈɪʃənəl
suppositionally	səpəzˈɪʃənəli
suppositionary	səpəzˈɪʃənˌɛɹi
suppositionless	səpəzˈɪʃənləs
suppositious	səpəzˈɪʃəs
supposititious	səpˌɑːzɪtˈɪʃəs
supposititiously	səpˌɑːzɪtˈɪʃəsli
supposititiousness	səpˌɑːzɪtˈɪʃəsnəs
suppositive	səpˈɑːzᵻtˌɪv
suppositively	səpˈɑːzᵻtˌɪvli
susception	səsˈɛpʃən
susceptive	səsˈɛptɪv
tehseeldar	tˈeɪsiːldˌɑːɹ
thighed	θˈaɪd
thomsonianism	tˈɑːmsoʊnˌiənɪzəm
trichloromethane	tɹˈɪklˌɔːɹoʊmˌɛθeɪn
triphenylmethane	tɹˈɪfˌiːnaɪlmˌɛθeɪn
tsutsutsi	tsˈuːtsʌtsi
turnicomorphae	tɜːnˈɪkəmˌɔːɹfiː
ultrabrachycephalic	ˌʊltɹɐbɹˌækaɪsfˈælɪk
unaccommodating	ʌnɐkˈɑːmədˌeɪɾɪŋ
unconspicuousness	ʌŋkənspˈɪkjuːəsnəs
unploughed	ʌnplˈaʊd
unqualification	ʌŋkwˌɔlɪfɪkˈeɪʃən
uppour	ˈʌpɚ
volatile	vˈɑːlɐɾəl
volatilely	vˈɑːlɐɾəlli
volatileness	vˈɑːlɐtəlnəs
volatilization	vˌɑːlɐtˌɪlᵻzˈeɪʃən
volatilize	vˈɑːlɐtˌɪlaɪz
yugoslavic	jˌuːɡəslˈɑːvɪk
zeugobranchiata	zjˌuːɡəbɹˌæŋkɪˈɑːɾə
a#	ɐ
so	sˈoʊ fˌɑːɹ: far,sˌoʊ mˈɛni: many,sˈoʊ mˌʌtʃ: much
of	əvə: a,əvən: an,ʌvwˈɪtʃ: which,ʌvwˈɪtʃ: which,ʌvðə: the
for	fɚɹə: a,fɚɹən: an,fɚðə: the,fɚɹə wˈaɪl: a while,fɚɹə wˈaɪl: a while,fɔːɹwˈʌn: one
for#	fɔːɹ wˈʌn: one
to#	təbi: be,təbi: be,tʊtə: to
to	tə bˈiː: be,tə bˈiː: be,tʊtʊ: to,tˌuːəndfɹˈoʊ: and fro
at	æɾə: a,ˈæɾɪt: it,ɐtwˈʌns: once,ɐtwˈɪl: will
at#	æɾ ɪt: it
with	wɪððə: the
in	ɪnðə: the,ɪnwˌɪtʃ: which,ˌɪnɐ ɹˈoʊ: a row
on	ɔnðə: the
out	ˌaʊɾəv: of
from	fɹʌmðə: the,fɹʌm wˈɛɹ: where,fɹʌm wˈɛɹ: where,fɹʌm wˈɪtʃ: which,fɹʌm wˈɪtʃ: which
per	pɚ sˈɛnt: cent,pˌɜː sˈeɪ: se
was	wʌzɐ: a,wʌzðə: the
will#	wˈɪltə: to,wɪl
will	wˈɪltʊ: to
would#	wʊdhɐv: have,wʊdhɐv: have,wʊdhˌævtə: have to,wʊd
would	wˈʊdhæv: have,wˈʊdhæv: have,wʊdhˈævtʊ: have to
wouldn't#	wˌʊdəntəv: have,wˌʊdəntævtə: have to
wouldn't	wˈʊdəntəv: have,wˈʊdəntævtʊ: have to
won't#	wˌoʊntɐv: have,wˌoʊntɐv: have,woʊnthˌævɪt: have it,wˈoʊntævtə: have to
won't	wˈoʊnthæv: have,wˈoʊnthæv: have,woʊnthˈævɪt: have it,wˈoʊntævtʊ: have to
must#	mˈʌstɐv: have,mˈʌstɐv: have,mˌʌstævtə: have to
must	mˈʌsthæv: have,mˈʌsthæv: have,mˌʌstævtʊ: have to
mustn't#	mˌʌsənthɐv: have,mˈʌsənthævtə: have to
mustn't	mˈʌsənthɐv: have,mˈʌsənthævtʊ: have to
should#	ʃˌʊdəv: have,ʃˌʊdəv: have,ʃʊdhˌævɪt: have it,ʃʊdhˌævtə: have to,ʃˌʊd
should	ʃˈʊdhæv: have,ʃˈʊdhæv: have,ʃʊdhˈævɪt: have it,ʃʊdhˈævtʊ: have to
shouldn't#	ʃˌʊdənthəv: have,ʃˈʊdəntævtə: have to
shouldn't	ʃˈʊdənthəv: have,ʃˈʊdəntævtʊ: have to
can't	kˈæntɐv: have,kˌæntˈævtʊ: have to,kˈæntɐv: have,kˌæntˈævtʊ: have to
can't#	kˈæntɐv tə: have to,kˈæntɐv tə: have to
could#	kˌʊdɐv: have,kˌʊdɐv: have,kʊdhˌævtə: have to,kʊd
could	kˈʊdhæv: have,kˈʊdhæv: have,kʊdhˈævtʊ: have to,kʊdhˈævɪt: have it
couldn't#	kˌʊdəntəv: have,kˈʊdəntævtə: have to
couldn't	kˈʊdəntəv: have,kˈʊdəntævtʊ: have to
may#	mˌeɪhɐv: have,mˌeɪhɐv tə: have to
may	mˈeɪhɐv: have,mˌeɪhˈævtʊ: have to
might#	mˌaɪthɐv: have,mˌaɪthɐv tə: have to,mˌaɪt
might	mˈaɪthɐv: have,mˌaɪthˈævtʊ: have to
have	hɐvbɪn: been,hɐvnˈɑːt: not,hɐvnˈɑːt: not
have#	hɐvnˌɑːt: not,hɐvnˌɑːt: not,hæv
has	hˈæzbiːn: been,hˈæztuː: to,hɐznˈɑːt: not,hɐznˈɑːt: not,hˌæzɪt: it
has#	hɐz tə: to,həznɑːt: not,həznɑːt: not,hɐz ɪt: it
had#	hædtə: to,hædtə: to,hæd wˈʌn: one,hæd
had	hˈædtuː: to,hˈædtuː: to,hɐdbɪn: been,hˌædɪt: it,hˌædðɛm: them,hˈædwʌn: one,hˌæd ˌɛni: any,hˌæd sʌm: some
do#	duːnˌɑːt: not,dˈuː sˌoʊ: so
do	duːnˈɑːt: not,dˈuː soʊ: so
does#	dʌznˌɑːt: not
does	dʌznˈɑːt: not
did#	dɪdnˌɑːt: not
did	dɪdnˈɑːt: not
that's	ðætsˈɪt: it,ðɐtsbˈɪn: been
I've#	aɪvhˌæd: had
I've	aɪvhˈæd: had
you've#	juːvhˌæd: had
you've	juːvhˈæd: had
he's#	hiːzhˌæd: had
he's	hiːzhˈæd: had
she's#	ʃiːzhˌæd: had
she's	ʃiːzhˈæd: had
it's#	ɪtshˌæd: had
it's	ɪtshˈæd: had
we've#	wiːvhˌæd: had
we've	wiːvhˈæd: had
they've#	ðeɪvhˌæd: had
they've	ðeɪvhˈæd: had
I#	aɪɐm: am,aɪɐm: am,aɪʃˌɐl: shall,aɪʃˌɐl: shall
I	aɪˈæm: am,aɪˈæm: am,aɪʃˈæl: shall,aɪʃˈæl: shall
it#	ɪt hɐz: has,ɪɾ ɪz: is,ɪt wʌz: was,ɪt wʌz: was
it	ɪt hˈæz: has,ɪɾ ˈɪz: is,ɪt wˈʌz: was,ɪt wˈʌz: was
we#	wiːʃˌɐl: shall,wiːʃˌɐl: shall
we	wiːʃˈæl: shall,wiːʃˈæl: shall
i#	ˈaɪ hæd: had
i	aɪ hˈæd: had
he#	hiː hæd: had
he	hiː hˈæd: had
as	ˌæzˌɪz: is,ˌæzɪtˈɪz: it is
as#	ˌæzɪtˌɪz: it is
not#	nˌɑːɾɐv: have,nˌɑːɾɐv: have,nˌɑːthævtə: have to
not	nˈɑːthæv: have,nˈɑːthæv: have,nˈɑːthævtʊ: have to,nˌɑːɾə: a
many	mˈɛnɪəv: of
some	sˈʌmwʌn: one
this	ðˈɪswˌʌn: one
that	ðˌæɾə: a,ðˈæt æn: an,ðætˈɪt: it,ðætˈɪt: it,ðæt ˈɪz: is,ðɐt wˈʌz: was,ðˈætwˌʌn: one,ðætðə: the,ðɐthɐzbˈɪn: has been
that#	ðæt æn: an,ðˌɐɾɪt: it,ðˌɐɾɪt: it,ðæt ɪz: is,ðæt wʌz: was,ðɐthɐzbˌɪn: has been,ðæt
that's#	ðɐtsbˌɪn: been
there#	ðɛɹˌɑːɹ: are,ðɛɹ ɪz: is,ðɛɹwˌʌz: was,ðɛɹwˌʌz: was,ðɛɹwˌɜː: were,ðɛɹ
there	ðɛɹˈɑːɹ: are,ðɛɹˈɪz: is,ðɛɹbˈiː: be,ðɛɹwˈʌz: was,ðɛɹwˈʌz: was,ðɛɹwˈɜː: were
than	ðˌænə: a,ðˌænən: an
so#	sˌoʊ
on#	ˌɔn
onto#	ˌɑːntʊ
up#	ˌʌp
down#	dˌaʊn
across#	əkɹˌɑːs
through#	θɹuː
over#	ˌoʊvɚ
under#	ˌʌndɚ
within#	wɪðˌɪn
without#	wɪðˌaʊt
above#	əbˌʌv
about#	ɐbˌaʊt
among#	ɐmˌʌŋ
amongst#	ɐmˌʌŋst
before#	bᵻfˌɔːɹ
behind#	bᵻhˌaɪnd
below#	bᵻlˌoʊ
beneath#	bᵻnˌiːθ
beyond#	bᵻjˌɔnd
beside#	bᵻsˌaɪd
between#	bᵻtwˌiːn
together#	təɡˌɛðɚ
near#	nˌɪɹ
being#	bˌiːɪŋ
shall#	ʃˌæl
can#	kæn
having#	hˌævɪŋ
get#	ɡɛt
getting#	ɡˌɛɾɪŋ
got#	ɡɑːt
go#	ɡˌoʊ
goes#	ɡoʊz
going#	ɡˌoʊɪŋ
gone#	ɡɔn
went#	wɛnt
doing#	dˌuːɪŋ
put#	pˌʊt
become#	bɪkˌʌm
became#	bɪkˌeɪm
#me	mˌiː
me#	mˌiː
my#	maɪ
his#	hɪz
hers#	hɜːz
already#	ɔːlɹˌɛdi
these#	ðiːz
those#	ðoʊz
which#	wˌɪtʃ
who#	hˌuː
#what#	wʌt
#what	wˈʌt
how#	hˌaʊ
where#	wˌɛɹ
why#	wˌaɪ
#when#	wɛn
#when	wˈɛn
